Date,Cumulative Count,Source
13/03/2020,1,HPS
14/03/2020,1,HPS
15/03/2020,1,HPS
16/03/2020,2,HPS
17/03/2020,3,HPS
18/03/2020,6,HPS
19/03/2020,6,HPS
20/03/2020,7,HPS
21/03/2020,10,HPS
22/03/2020,14,HPS
23/03/2020,16,HPS
24/03/2020,22,HPS
25/03/2020,25,HPS
26/03/2020,33,HPS
27/03/2020,40,HPS
28/03/2020,41,HPS
29/03/2020,47,HPS
30/03/2020,69,HPS
31/03/2020,97,HPS
01/04/2020,126,HPS
02/04/2020,172,HPS
03/04/2020,218,HPS
04/04/2020,220,HPS
05/04/2020,222,HPS
06/04/2020,296,HPS
07/04/2020,366,HPS
08/04/2020,447,HPS
09/04/2020,495,HPS
10/04/2020,542,HPS
11/04/2020,566,HPS
12/04/2020,575,HPS
13/04/2020,615,HPS
14/04/2020,699,HPS
15/04/2020,779,HPS
16/04/2020,837,HPS
17/04/2020,893,HPS
18/04/2020,903,HPS
19/04/2020,915,HPS
20/04/2020,985,HPS
21/04/2020,1062,HPS
22/04/2020,1120,HPS
23/04/2020,1184,HPS
24/04/2020,1231,HPS
25/04/2020,1249,HPS
26/04/2020,1262,HPS
27/04/2020,1332,HPS
28/04/2020,1415,HPS
29/04/2020,1475,HPS
30/04/2020,1515,HPS
01/05/2020,1559,HPS
02/05/2020,1571,HPS
03/05/2020,1576,HPS
04/05/2020,1620,HPS
05/05/2020,1703,HPS
06/05/2020,1762,HPS
07/05/2020,1811,HPS
08/05/2020,1847,HPS
09/05/2020,1857,HPS
10/05/2020,1862,HPS
11/05/2020,1912,HPS
12/05/2020,1973,HPS
13/05/2020,2007,HPS
14/05/2020,2053,HPS
15/05/2020,2094,HPS
16/05/2020,2103,HPS
17/05/2020,2105,HPS
18/05/2020,2134,HPS
19/05/2020,2184,HPS
20/05/2020,2221,HPS
21/05/2020,2245,HPS
22/05/2020,2261,HPS
23/05/2020,2270,HPS
24/05/2020,2273,HPS
25/05/2020,2291,HPS
26/05/2020,2304,HPS
27/05/2020,2316,HPS
28/05/2020,2331,HPS
29/05/2020,2353,HPS
30/05/2020,2362,HPS
31/05/2020,2363,HPS
01/06/2020,2375,HPS
02/06/2020,2386,HPS
03/06/2020,2395,HPS
04/06/2020,2409,HPS
05/06/2020,2415,HPS
06/06/2020,2415,HPS
07/06/2020,2415,HPS
08/06/2020,2422,HPS
09/06/2020,2434,HPS
10/06/2020,2439,HPS
11/06/2020,2442,HPS
12/06/2020,2447,HPS
13/06/2020,2448,HPS
14/06/2020,2448,HPS
15/06/2020,2453,HPS
16/06/2020,2462,HPS
17/06/2020,2464,HPS
18/06/2020,2470,HPS
19/06/2020,2472,HPS
20/06/2020,2472,HPS
21/06/2020,2472,HPS
22/06/2020,2476,HPS
23/06/2020,2480,HPS
24/06/2020,2482,HPS
25/06/2020,2482,HPS
26/06/2020,2482,HPS
27/06/2020,2482,HPS
28/06/2020,2482,HPS
29/06/2020,2485,HPS
30/06/2020,2486,HPS
01/07/2020,2487,HPS
02/07/2020,2488,HPS
03/07/2020,2488,HPS
04/07/2020,2488,HPS
05/07/2020,2488,HPS
06/07/2020,2489,HPS
07/07/2020,2490,HPS
08/07/2020,2490,HPS
09/07/2020,2490,HPS
10/07/2020,2490,HPS
11/07/2020,2490,HPS
12/07/2020,2490,HPS
13/07/2020,2490,HPS
14/07/2020,2490,HPS
15/07/2020,2491,HPS
16/07/2020,2491,HPS
17/07/2020,2491,HPS
18/07/2020,2491,HPS
19/07/2020,2491,HPS
20/07/2020,2491,HPS
21/07/2020,2491,HPS
22/07/2020,2491,HPS
23/07/2020,2491,HPS
24/07/2020,2491,HPS
25/07/2020,2491,HPS
26/07/2020,2491,HPS
13/03/2020,0,NRS
14/03/2020,0,NRS
15/03/2020,0,NRS
16/03/2020,0,NRS
17/03/2020,2,NRS
18/03/2020,5,NRS
19/03/2020,6,NRS
20/03/2020,11,NRS
21/03/2020,11,NRS
22/03/2020,11,NRS
23/03/2020,13,NRS
24/03/2020,15,NRS
25/03/2020,16,NRS
26/03/2020,31,NRS
27/03/2020,66,NRS
28/03/2020,73,NRS
29/03/2020,73,NRS
30/03/2020,116,NRS
31/03/2020,166,NRS
01/04/2020,215,NRS
02/04/2020,278,NRS
03/04/2020,349,NRS
04/04/2020,351,NRS
05/04/2020,355,NRS
06/04/2020,477,NRS
07/04/2020,594,NRS
08/04/2020,718,NRS
09/04/2020,819,NRS
10/04/2020,904,NRS
11/04/2020,954,NRS
12/04/2020,964,NRS
13/04/2020,1041,NRS
14/04/2020,1185,NRS
15/04/2020,1334,NRS
16/04/2020,1462,NRS
17/04/2020,1572,NRS
18/04/2020,1597,NRS
19/04/2020,1614,NRS
20/04/2020,1738,NRS
21/04/2020,1898,NRS
22/04/2020,2021,NRS
23/04/2020,2137,NRS
24/04/2020,2221,NRS
25/04/2020,2261,NRS
26/04/2020,2275,NRS
27/04/2020,2383,NRS
28/04/2020,2517,NRS
29/04/2020,2630,NRS
30/04/2020,2705,NRS
01/05/2020,2781,NRS
02/05/2020,2795,NRS
03/05/2020,2802,NRS
04/05/2020,2867,NRS
05/05/2020,2989,NRS
06/05/2020,3074,NRS
07/05/2020,3146,NRS
08/05/2020,3195,NRS
09/05/2020,3212,NRS
10/05/2020,3217,NRS
11/05/2020,3290,NRS
12/05/2020,3380,NRS
13/05/2020,3424,NRS
14/05/2020,3480,NRS
15/05/2020,3540,NRS
16/05/2020,3550,NRS
17/05/2020,3553,NRS
18/05/2020,3599,NRS
19/05/2020,3665,NRS
20/05/2020,3713,NRS
21/05/2020,3741,NRS
22/05/2020,3769,NRS
23/05/2020,3780,NRS
24/05/2020,3783,NRS
25/05/2020,3805,NRS
26/05/2020,3825,NRS
27/05/2020,3846,NRS
28/05/2020,3871,NRS
29/05/2020,3902,NRS
30/05/2020,3912,NRS
31/05/2020,3914,NRS
01/06/2020,3935,NRS
02/06/2020,3951,NRS
03/06/2020,3970,NRS
04/06/2020,3989,NRS
05/06/2020,4000,NRS
06/06/2020,4002,NRS
07/06/2020,4003,NRS
08/06/2020,4019,NRS
09/06/2020,4038,NRS
10/06/2020,4051,NRS
11/06/2020,4057,NRS
12/06/2020,4069,NRS
13/06/2020,4072,NRS
14/06/2020,4072,NRS
15/06/2020,4080,NRS
16/06/2020,4097,NRS
17/06/2020,4104,NRS
18/06/2020,4112,NRS
19/06/2020,4121,NRS
20/06/2020,4121,NRS
21/06/2020,4121,NRS
22/06/2020,4129,NRS
23/06/2020,4142,NRS
24/06/2020,4150,NRS
25/06/2020,4154,NRS
26/06/2020,4156,NRS
27/06/2020,4156,NRS
28/06/2020,4156,NRS
29/06/2020,4159,NRS
30/06/2020,4165,NRS
01/07/2020,4169,NRS
02/07/2020,4173,NRS
03/07/2020,4174,NRS
04/07/2020,4174,NRS
05/07/2020,4174,NRS
06/07/2020,4178,NRS
07/07/2020,4184,NRS
08/07/2020,4184,NRS
09/07/2020,4185,NRS
10/07/2020,4187,NRS
11/07/2020,4187,NRS
12/07/2020,4187,NRS
13/07/2020,4188,NRS
14/07/2020,4189,NRS
15/07/2020,4192,NRS
16/07/2020,4193,NRS
17/07/2020,4193,NRS
18/07/2020,4193,NRS
19/07/2020,4193,NRS
20/07/2020,4194,NRS
21/07/2020,4198,NRS
22/07/2020,4199,NRS
23/07/2020,4200,NRS
24/07/2020,4201,NRS
25/07/2020,4201,NRS
26/07/2020,4201,NRS